 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 TURBMINT  3 2025  330.00
 TURBMINT  4 2025    0.00
 TURBMINT  5 2025    0.00
 TURBMINT  6 2025    0.00
 TURBMINT  7 2025    0.00
 TURBMINT  8 2025    0.00
 TURBMINT  9 2025    0.00
 TURBMINT 10 2025    0.00
 TURBMINT 11 2025  330.00
 TURBMINT 12 2025  330.00
 VAZMINT   2 2021  330.00
 VAZMINT   3 2021  312.00
 VAZMINT  11 2021  330.00
 VAZMINT   3 2022  312.00
 VAZMINT  11 2022  330.00
 VAZMINT   3 2023  312.00
 VAZMINT  11 2023  330.00
 VAZMINT   3 2024  312.00
 VAZMINT  11 2024  330.00
 VAZMINT   3 2025  312.00
 VAZMINT  11 2025  330.00
 VMAXT     2 2021  78.730 '%'
 VMAXT     3 2021  83.880 '%'
 VMAXT     4 2021  90.990 '%'
 VMAXT    11 2021  68.670 '%'
 VMAXT    12 2021  59.050 '%'
 VMAXT     1 2022  69.110 '%'
 VMAXT     2 2022  72.050 '%'
 VMAXT     3 2022  81.850 '%'
 VMAXT     4 2022  90.990 '%'
 VMAXT    11 2022  68.670 '%'
 VMAXT    12 2022  59.050 '%'
 VMAXT     1 2023  69.110 '%'
 VMAXT     2 2023  72.050 '%'
 VMAXT     3 2023  81.850 '%'
 VMAXT     4 2023  90.990 '%'
 VMAXT    11 2023  68.670 '%'
 VMAXT    12 2023  59.050 '%'
 VMAXT     1 2024  69.110 '%'
 VMAXT     2 2024  72.050 '%'
 VMAXT     3 2024  81.850 '%'
 VMAXT     4 2024  90.990 '%'
 VMAXT    11 2024  68.670 '%'
 VMAXT    12 2024  59.050 '%'
 VMAXT     1 2025  69.110 '%'
 VMAXT     2 2025  72.050 '%'
 VMAXT     3 2025  81.850 '%'
 VMAXT     4 2025  90.990 '%'
 VMAXT    11 2025  68.670 '%'
 VMAXT    12 2025  59.050 '%'
 USINA     18                               A. VERMELHA         
 TURBMINT  2 2021    0.00
 TURBMINT  3 2021    0.00
 TURBMINT  4 2021    0.00
 TURBMINT  5 2021    0.00
 TURBMINT  6 2021    0.00
 TURBMINT  7 2021    0.00
 TURBMINT  8 2021    0.00
 TURBMINT  9 2021    0.00
 TURBMINT 10 2021    0.00
 TURBMINT 11 2021    0.00
 TURBMINT 12 2021    0.00
 TURBMINT  1 2022    0.00
 TURBMINT  2 2022    0.00
 TURBMINT  3 2022    0.00
 TURBMINT  4 2022    0.00
 TURBMINT  5 2022  400.00
 TURBMINT  6 2022  400.00
 TURBMINT  7 2022  400.00
 TURBMINT  8 2022  400.00
 TURBMINT  9 2022  400.00
 TURBMINT 10 2022  400.00
 TURBMINT 11 2022  400.00
 TURBMINT 12 2022  400.00
 TURBMINT  1 2023  400.00
 TURBMINT  2 2023  400.00
 TURBMINT  3 2023  400.00
 TURBMINT  4 2023  400.00
 TURBMINT  5 2023  400.00
 TURBMINT  6 2023  400.00
 TURBMINT  7 2023  400.00
 TURBMINT  8 2023  400.00
 TURBMINT  9 2023  400.00
 TURBMINT 10 2023  400.00
 TURBMINT 11 2023  400.00
 TURBMINT 12 2023  400.00
 TURBMINT  1 2024  400.00
 TURBMINT  2 2024  400.00
 TURBMINT  3 2024  400.00
 TURBMINT  4 2024  400.00
 TURBMINT  5 2024  400.00
 TURBMINT  6 2024  400.00
 TURBMINT  7 2024  400.00
 TURBMINT  8 2024  400.00
 TURBMINT  9 2024  400.00
 TURBMINT 10 2024  400.00
 TURBMINT 11 2024  400.00
 TURBMINT 12 2024  400.00
 TURBMINT  1 2025  400.00
 TURBMINT  2 2025  400.00
 TURBMINT  3 2025  400.00
 TURBMINT  4 2025  400.00
 TURBMINT  5 2025  400.00
 TURBMINT  6 2025  400.00
 TURBMINT  7 2025  400.00
 TURBMINT  8 2025  400.00
 TURBMINT  9 2025  400.00
 TURBMINT 10 2025  400.00
 TURBMINT 11 2025  400.00
 TURBMINT 12 2025  400.00
 VAZMIN        364
 VMAXT     2 2021  85.060 '%'
 VMAXT     3 2021  91.860 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  68.810 '%'
 VMAXT    12 2021  57.460 '%'
 VMAXT     1 2022  69.390 '%'
 VMAXT     2 2022  78.290 '%'
 VMAXT     3 2022  89.510 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  68.810 '%'
 VMAXT    12 2022  57.460 '%'
 VMAXT     1 2023  69.390 '%'
 VMAXT     2 2023  78.290 '%'
 VMAXT     3 2023  89.510 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  68.810 '%'
 VMAXT    12 2023  57.460 '%'
 VMAXT     1 2024  69.390 '%'
 VMAXT     2 2024  78.290 '%'
 VMAXT     3 2024  89.510 '%'
 VMAXT     4 2024 100.000 '%'
 VMAXT    11 2024  68.810 '%'
 VMAXT    12 2024  57.460 '%'
 VMAXT     1 2025  69.390 '%'
 VMAXT     2 2025  78.290 '%'
 VMAXT     3 2025  89.510 '%'
 VMAXT     4 2025 100.000 '%'
 VMAXT    11 2025  68.810 '%'
 VMAXT    12 2025  57.460 '%'
 USINA     24                               EMBORCACAO          
 VAZMIN        100
 VMAXT     2 2021  98.540 '%'
 VMAXT     3 2021  99.210 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  97.070 '%'
 VMAXT    12 2021  95.320 '%'
 VMAXT     1 2022  97.110 '%'
 VMAXT     2 2022  97.890 '%'
 VMAXT     3 2022  98.980 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  97.070 '%'
 VMAXT    12 2022  95.320 '%'
 VMAXT     1 2023  97.110 '%'
 VMAXT     2 2023  97.890 '%'
 VMAXT     3 2023  98.980 '%'
 VMAXT     4 2023 100.000 '%'
 VMAXT    11 2023  97.070 '%'
 VMAXT    12 2023  95.320 '%'
 VMAXT     1 2024  97.110 '%'
