
         MODELO ESTOCASTICO DE GERACAO DE VAZOES   SINTETICAS - PAR(p)


                              SERIE  DE VAZOES   DA USINA FURNAS       (CONFIGURACAO No.   59)


        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ

1983    949.58    1005.83    1093.25    1096.33    1135.17    1166.58    1245.50    1277.67    1294.67    1376.00    1444.17    1519.50
1984   1583.92    1515.00    1395.58    1277.08    1196.17    1152.08    1048.17     996.58     972.00     894.00     806.58     726.92
1985    616.75     624.58     665.50     750.67     777.58     778.25     783.83     789.33     787.17     783.92     786.33     791.00
1986    772.50     725.50     688.50     622.50     586.58     585.50     578.75     579.75     586.67     577.83     568.25     545.75
1987    584.42     606.58     626.08     614.50     643.50     641.83     651.08     649.42     640.50     654.17     664.00     678.08
1988    651.17     602.42     590.08     604.33     575.25     566.00     561.67     553.42     549.33     533.25     538.08     539.33
1989    514.42     550.00     547.08     556.58     559.25     551.25     543.42     546.75     552.42     562.67     557.33     553.25
1990    576.08     551.33     498.00     468.92     460.33     464.92     459.25     456.75     453.33     451.58     451.58     441.00
1991    409.33     430.75     513.25     560.25     641.92     669.58     686.00     695.83     696.17     692.17     706.00     709.08
1992    721.17     760.92     779.42     755.92     697.42     696.00     692.67     695.75     698.67     719.58     729.42     784.42
1993    815.08     754.33     736.50     738.25     738.83     717.67     723.83     715.67     714.42     698.75     681.08     626.83
1994    589.58     615.25     541.08     523.33     501.17     505.50     492.42     487.67     480.58     467.33     451.50     454.08
1995    474.83     423.67     552.58     555.42     575.75     575.25     577.08     581.17     580.58     581.25     605.75     614.92
1996    612.00     674.50     569.00     583.58     569.08     562.75     559.25     555.75     560.25     587.08     576.42     622.00
1997    662.33     744.17     783.08     781.00     795.42     800.33     825.08     833.92     836.42     817.67     818.67     779.50
1998    753.92     626.50     590.42     562.33     538.75     527.42     504.08     490.50     485.58     476.92     476.25     462.33
1999    451.00     481.17     496.75     530.83     534.75     532.25     531.83     535.33     531.17     534.75     516.00     506.50
2000    487.75     525.58     548.00     541.08     545.00     545.42     545.08     545.42     552.17     567.25     572.33     594.92
2001    614.17     528.42     461.33     414.67     394.50     385.25     373.08     363.25     352.75     335.67     343.75     334.08
2002    330.25     348.17     428.25     459.42     470.92     480.00     486.50     493.58     498.67     504.08     492.75     494.17
2003    497.75     534.17     494.42     490.08     496.58     497.58     496.92     498.92     496.83     490.42     495.33     488.75
2004    479.33     446.17     458.25     471.42     484.75     498.67     518.00     528.42     535.42     535.67     548.67     553.08
2005    591.08     650.42     660.83     677.25     671.00     683.83     681.92     681.08     683.00     697.00     689.17     699.33
2006    682.67     619.17     582.00     575.33     564.00     533.92     518.42     506.25     498.17     487.25     490.92     487.83
2007    491.83     634.17     699.08     669.67     674.58     682.67     690.08     697.83     703.17     698.92     689.17     692.75
2008    671.83     528.42     498.67     546.25     592.33     603.42     609.67     608.58     614.17     624.83     635.58     645.25
2009    668.42     713.25     767.83     757.17     764.42     766.17     768.67     778.50     783.50     803.17     821.83     804.83
2010    828.17     815.58     715.00     683.75     627.25     608.08     592.33     577.42     560.75     531.33     509.42     516.67
2011    492.00     561.58     568.17     622.42     641.75     651.00     661.67     666.75     673.50     675.17     676.50     664.08
2012    668.08     631.17     629.75     560.00     536.17     532.92     540.00     540.33     535.50     531.67     517.58     510.83
2013    466.67     436.75     472.58     499.17     519.08     519.08     514.83     516.50     520.00     527.17     545.17     556.33
2014    571.00     495.17     411.58     356.00     320.58     300.00     276.33     260.75     251.67     239.92     215.83     196.75
2015    178.08     170.00     188.25     216.00     223.75     230.67     235.75     237.42     237.17     253.67     257.08     271.58
2016    287.75     369.58     403.67     432.33     437.83     442.42     464.42     469.58     475.67     464.00     477.83     484.50
2017    467.00     409.17     374.58     335.67     320.92     319.58     298.67     291.83     284.08     278.00     266.50     253.75
2018    251.08     263.33     266.67     273.50     272.08     259.50     251.58     246.83     248.75     252.08     267.92     291.00
2019    315.67     303.00     312.00     350.67     381.00     400.83     409.08     417.17     419.08     420.83     405.83     385.17

                                                  MEDIA AMOSTRAL DAS VAZOES  


        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ

       601.97     601.48     600.01     599.44     599.10     598.66     598.40     598.21     598.06     597.85     597.57     597.41



                                              DESVIO PADRAO AMOSTRAL DAS VAZOES  


        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ

       195.98     189.36     178.92     172.16     172.87     174.12     176.96     178.93     180.82     185.18     188.77     192.76



                                                      CORRELOGRAMO DA SERIE DE VAZOES  


   ORDEM        1         2         3         4         5         6         7         8         9        10        11

 JAN/POS    0.55912   0.33089   0.27948   0.20288   0.30875   0.32507   0.24126   0.32298   0.26522   0.28213   0.18534
 FEV/POS    0.50247   0.25138   0.14763   0.10485   0.03480   0.22355   0.21536   0.13143   0.33659   0.19826   0.25240
 MAR/POS    0.60996   0.43934   0.22136   0.13582   0.16814  -0.01637   0.22855   0.21768   0.12142   0.29523   0.19195
 ABR/POS    0.73948   0.68299   0.46688   0.30531   0.19909   0.19021   0.13041   0.38554   0.32294   0.17573   0.32871
 MAI/POS    0.82566   0.75134   0.76368   0.54492   0.38598   0.21946   0.26880   0.15323   0.37114   0.37086   0.27325
 JUN/POS    0.80769   0.72503   0.63872   0.63008   0.55448   0.40658   0.21575   0.18777   0.12999   0.29908   0.31998
 JUL/POS    0.89570   0.87303   0.77797   0.69427   0.70338   0.54804   0.39743   0.23179   0.20064   0.06681   0.25522
 AGO/POS    0.91183   0.79632   0.82286   0.70441   0.67024   0.62448   0.49892   0.43716   0.33938   0.28693   0.13387
 SET/POS    0.76797   0.78217   0.74864   0.63942   0.60592   0.52393   0.46768   0.33971   0.29892   0.23034   0.23129
 OUT/POS    0.73852   0.69328   0.76228   0.76535   0.64080   0.56952   0.46908   0.52826   0.39007   0.33913   0.18085
 NOV/POS    0.71786   0.63895   0.54391   0.58795   0.56154   0.47884   0.39177   0.38761   0.45046   0.39106   0.29037
 DEZ/POS    0.69050   0.67064   0.55322   0.57509   0.59446   0.56278   0.47385   0.41549   0.34193   0.35799   0.39479




                                                    CORRELOGRAMO - JAN/POS 



                         1                                        I**********************
                         2                                        I*************
                         3                                        I***********
                         4                                        I********
                         5                                        I************
