
         MODELO ESTOCASTICO DE GERACAO DE ENERGIAS SINTETICAS - PAR(p)




                              SERIE  DE ENERGIAS DO REE   SUDESTE      (CONFIGURACAO No.    1)


        JAN        FEV        MAR        ABR        MAI        JUN        JUL        AGO        SET        OUT        NOV        DEZ

1973   8777.24    8252.72   10359.84    8828.99    4982.38    3458.59    3056.39    2492.68    2370.78    4867.06    7461.95    8660.02
1974   8921.67    7493.48   12149.04   10103.07    5984.00    4289.71    3310.70    2693.35    2321.92    3205.96    3790.49    6644.39
1975   8429.40    8832.92    6086.95    6769.85    3967.03    2955.21    2690.44    2062.28    1853.35    3295.99    6112.13    6102.47
1976   5392.52    6771.64    6951.14    5344.19    4225.77    3356.07    3238.77    2742.12    3388.57    3989.31    6879.31    9601.16
1977  12155.89   13860.05    6348.65    6977.40    4629.01    3625.46    2841.98    2383.48    2693.59    3066.10    4478.45    7736.02
1978  15386.11   12664.52   14146.81    8302.95    5449.68    4635.02    3629.69    2826.61    2543.49    3191.71    4613.61    8041.96
1979  17857.70   26789.32   13898.19    9118.91    6130.97    4883.33    4043.23    3644.92    4004.81    3661.74    6313.98    7205.75
1980  16487.91   26540.27   13419.27   10403.45    6002.52    4723.28    4045.42    3376.92    3200.88    3332.80    5278.95   11199.34
1981  13300.01    7937.22   10292.12    9894.93    5299.59    4432.81    3504.89    3010.72    2477.18    4327.26   10774.60    9207.23
1982  20187.23   12470.65   13864.73    9986.50    6248.24    5305.94    4181.82    3719.10    3306.31    4089.21    4359.33    6002.07
1983  13891.73   20605.43   12560.36   10736.29    6879.52    6582.86    4821.19    3914.50    4644.86    5802.22    7244.97   12421.24
1984   8450.47    6232.62    6790.30    7602.42    4813.48    3405.67    2857.25    2870.36    3134.14    3260.68    3764.30    7067.61
1985  18903.64   14637.71   12749.40    9283.75    6210.48    4562.69    3748.98    3187.56    3169.53    3585.96    4854.26    9796.12
1986  14516.24   10543.00    8601.29    6114.31    4715.52    3433.00    3157.22    3116.08    2515.83    2620.54    3184.86    6213.17
1987   7237.42    5989.46    7814.90    6913.81    4822.45    4019.76    2901.72    2366.22    2523.90    2786.24    3970.56   10210.64
1988   8947.61   10337.84   11985.28    7521.40    5281.19    4289.84    3183.10    2681.47    2390.46    3368.03    4551.49    7798.56
1989   7740.90    7824.24    7686.62    5356.28    4024.20    3444.59    3019.46    2863.47    2641.12    3099.19    5182.55   19018.92
1990  13050.97    7573.47    8161.82    5826.91    4437.64    3210.26    3157.66    2657.70    3002.65    3147.39    3583.64    4097.88
1991   9792.72    9917.42   12304.12   10065.37    5681.47    4139.22    3345.12    2818.40    2705.02    3721.10    4584.08    5673.94
1992  13468.53   20957.35    9199.99    7459.19    5553.00    3857.46    3444.76    2956.30    3520.89    4623.12    8739.57   13648.08
1993  10219.41   10465.66    7981.38    6511.18    4594.94    4051.54    3035.73    2729.69    3014.58    3350.22    2877.21    5799.61
1994  10299.38    7020.73   12674.37    8214.94    5141.49    3877.58    3161.66    2481.53    2132.71    2293.98    3913.73    6965.52
1995   6872.24   10780.59    7328.55    7998.06    5424.02    3611.39    3054.31    2420.09    2154.67    3273.68    4891.30    9058.15
1996   9315.07    6459.73    7795.88    5668.76    4138.93    3190.97    2631.63    2377.12    3041.49    3012.34    6482.35    6787.30
1997  14195.63    7958.81   13298.32   10393.64    5878.32    4774.99    3507.38    2880.12    2924.11    3362.93    4259.52    7796.65
1998   7444.72    9154.22    7121.36    4487.19    3644.35    2826.04    2366.69    2157.62    2278.46    3169.45    5514.28    7032.02
1999   7583.99    5815.97    8903.36    4350.00    3030.46    2626.24    2310.55    1863.20    1962.85    2163.77    5005.29    9011.11
2000  11354.27   11727.99   11420.43    6633.10    3922.88    3006.10    2685.04    2365.65    2964.07    2193.48    5656.97    9983.14
2001   6737.79    5436.93    6915.42    4494.01    3022.49    2330.84    2036.65    1770.36    1898.47    2996.58    4914.44    7259.00
2002  15470.38   12766.30    7487.90    5114.95    3608.52    2738.76    2413.70    2003.09    2225.30    1903.39    4057.95    6379.89
2003  11529.87    7927.12    7834.31    6645.85    3594.13    2709.71    2226.73    1880.68    1975.38    2345.75    3212.69    4533.63
