 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 & Cadastro das familias de curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & HjusRef: nivel de montante da usina de jusante para referencia da familia
 & nPol: quantidade de polinomios da familia
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;Indice;HjusRef
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;003;  444.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;004;  445.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0012;005;  446.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0012;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0014;001;  748.9427
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0014;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0015;001;  574.0539
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0015;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0016;001;  545.5521
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0016;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;001;  379.3358
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;002;  381.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;003;  382.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0017;004;  383.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0017;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;001;  320.6812
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;002;  325.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;002;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;003;  326.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;004;  327.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0018;005;  328.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0018;005;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0020;001;  754.5701
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0020;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0020;002;  756.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0020;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0021;001;  674.0264
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0021;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0024;001;  519.4079
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0024;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0024;002;  520.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0024;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0025;001;  694.5640
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0025;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0025;002;  695.4000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0025;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0025;003;  695.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0025;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0025;004;  695.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0025;004;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0025;005;  696.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0025;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0026;001;  623.2402
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0026;001;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0026;002;  623.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0026;002;004
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0026;003;  623.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0026;003;004
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0026;004;  623.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0026;004;004
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0026;005;  624.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0026;005;004
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0027;001;  562.8337
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0027;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0027;002;  564.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0027;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0027;003;  565.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0027;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0028;001;  516.9172
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0028;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0028;002;  518.9000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0028;002;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0028;003;  519.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0028;003;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0028;004;  519.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0028;004;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0028;005;  520.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0028;005;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0029;001;  771.0504
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0029;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0029;002;  771.6000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0029;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0029;003;  772.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0029;003;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0030;001;  514.9405
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0030;001;002
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0030;002;  516.7000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0030;002;003
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0030;003;  517.8000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0030;003;003
