 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 & Cadastro das familias de curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & HjusRef: nivel de montante da usina de jusante para referencia da familia
 & nPol: quantidade de polinomios da familia
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;Indice;HjusRef
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0044;001;  279.8799
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0044;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0054;001;  720.9730
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0054;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0055;001;  700.4866
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0055;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0058;001;  423.5139
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0058;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0073;001;  602.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0073;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0075;001;  462.2623
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0075;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0080;001;  601.4191
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0080;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0081;001;  537.3792
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0081;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0085;001;  646.8586
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0085;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0088;001;  705.8049
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0088;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0105;001;    0.0126
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0105;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0107;001;  706.1500
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0107;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0108;001;  715.1500
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0108;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0109;001;  720.1500
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0109;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0110;001;  457.3499
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0110;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0117;001;  720.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0117;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0118;001;  728.7500
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0118;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0124;001;   90.3000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0124;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0125;001;  348.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0125;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0138;001;  325.1680
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0138;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0149;001;  286.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0149;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0180;001;  440.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0180;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0181;001;  356.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0181;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0182;001;  398.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0182;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0185;001;  123.9040
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0185;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0186;001;   59.2205
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0186;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0194;001;  297.1907
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0194;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0216;001;  148.4000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0216;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0225;001;  221.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0225;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0260;001;  472.2035
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0260;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0268;001;  102.7660
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0268;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0269;001;  467.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0269;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0273;001;   93.9992
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0273;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0282;001;  436.5820
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0282;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0289;001;  577.8389
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0289;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0291;001;  332.7979
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0291;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0292;001;  284.1099
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0292;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0294;001;  636.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0294;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0295;001;  514.6558
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0295;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0298;001;  328.2200
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0298;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0299;001;  467.5000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0299;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0301;001;  423.5139
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0301;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0302;001;  171.3660
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0302;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0303;001;  232.6799
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0303;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0306;001;  262.6807
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0306;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0307;001;  286.2000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0307;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0308;001;  577.0000
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0308;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0313;001;  351.2347
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0313;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0317;001;  700.4866
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0317;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0318;001;  720.9730
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0318;001;001
 &
 HIDRELETRICA-CURVAJUSANTE                   ;0319;001;  510.5975
 HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES;0319;001;001
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &
 & Cadastro dos coeficientes dos polinômios por partes das curvas de jusante
 &
 & Usina: codigo da usina hidraulica
 & IndCurva: indice da familia (sequencial)
 & IndPolin Polinomio: indice do polinomio do segmento (sequencial)
 & QjusMin: Limite inferior de vazao de jusante (defluencia mais lateral) para janela de validade do polinomio
 & QjusMax: Limite superior de vazao de jusante (defluencia mais lateral) para janela de validade do polinomio
 & a0 : coeficiente de grau 0 do polinomio
 & a1 : coeficiente de grau 1 do polinomio
 & a2 : coeficiente de grau 2 do polinomio
 & a3 : coeficiente de grau 3 do polinomio
 & a4 : coeficiente de grau 4 do polinomio
 &
 &&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
 &;Usina;IndCurva;IndPolin;QjusMin;QjusMax;a0;a1;a2;a3;a4
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;001; 1;               0.000;             408.649;0.88530520000000E+03;-.31521360000000E-17;0.19686530000000E-04;-.25518040000000E-07;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;001; 2;             408.649;            1054.722;0.88467330000000E+03;0.80666000000000E-02;-.86720890000000E-05;0.54010460000000E-08;-.13886850000000E-11
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;002; 1;               0.000;             123.055;0.88540000000000E+03;0.22264820000000E-02;0.72267780000000E-05;-.46752770000000E-06;0.28066640000000E-08
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;002; 2;             123.055;             408.649;0.88530520000000E+03;-.31521360000000E-17;0.19686530000000E-04;-.25518040000000E-07;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;002; 3;             408.649;            1054.722;0.88467330000000E+03;0.80666000000000E-02;-.86720890000000E-05;0.54010460000000E-08;-.13886850000000E-11
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;003; 1;               0.000;             396.401;0.88570000000000E+03;0.60492090000000E-03;0.26923990000000E-05;0.23324290000000E-07;-.40763360000000E-10
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;003; 2;             396.401;             408.649;0.88530520000000E+03;-.31521360000000E-17;0.19686530000000E-04;-.25518040000000E-07;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;003; 3;             408.649;            1054.722;0.88467330000000E+03;0.80666000000000E-02;-.86720890000000E-05;0.54010460000000E-08;-.13886850000000E-11
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;004; 1;               0.000;             365.407;0.88580000000000E+03;0.33844090000000E-18;0.88426950000000E-06;0.36830870000000E-07;-.57562770000000E-10
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;004; 2;             365.407;             408.649;0.88530520000000E+03;-.31521360000000E-17;0.19686530000000E-04;-.25518040000000E-07;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;004; 3;             408.649;            1054.722;0.88467330000000E+03;0.80666000000000E-02;-.86720890000000E-05;0.54010460000000E-08;-.13886850000000E-11
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;005; 1;               0.000;             365.400;0.88600000000000E+03;0.27478400000000E-03;-.64518770000000E-05;0.54412710000000E-07;-.67585460000000E-10
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;005; 2;             365.400;             408.649;0.88530520000000E+03;-.31521360000000E-17;0.19686530000000E-04;-.25518040000000E-07;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0001;005; 3;             408.649;            1054.722;0.88467330000000E+03;0.80666000000000E-02;-.86720890000000E-05;0.54010460000000E-08;-.13886850000000E-11
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0002;001; 1;               0.000;             242.693;0.85578947064344E+03;0.11562960551554E-01;0.49862043017189E-05;-.68537729932874E-07;0.21566855280797E-11
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0002;001; 2;             242.693;             863.797;0.85780957602716E+03;-.18541426936976E-02;0.11088364944033E-04;-.66823864597252E-08;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0002;001; 3;             863.797;            2363.670;0.85785060675746E+03;0.28525351307282E-02;0.87103266365734E-07;-.38914171007355E-09;0.82237970254910E-13
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;001; 1;               0.000;            1257.447;0.76576413085343E+03;0.11261094559232E-01;-.62425474410895E-05;0.17543098194994E-08;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;001; 2;            1257.447;            6238.234;0.76650542364729E+03;0.76767509717095E-02;-.19707200040794E-05;0.26917708438392E-09;-.14346039347404E-13
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;002; 1;               0.000;            1694.482;0.76700000000000E+03;0.74128152590876E-02;-.13055224042154E-05;-.64680229241739E-09;0.28880378718093E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;002; 2;            1694.482;            6238.234;0.76650542364729E+03;0.76767509717095E-02;-.19707200040794E-05;0.26917708438392E-09;-.14346039347404E-13
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;003; 1;               0.000;            1351.670;0.76730000000000E+03;0.59631446780465E-02;0.22930377565992E-05;-.45129258347764E-08;0.16457046194850E-11
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;003; 2;            1351.670;            6238.234;0.76650542364729E+03;0.76767509717095E-02;-.19707200040794E-05;0.26917708438392E-09;-.14346039347404E-13
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;004; 1;               0.000;             842.406;0.76760000000000E+03;0.48674884293944E-02;0.60596706057144E-05;-.12708322384901E-07;0.68821071334384E-11
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;004; 2;             842.406;            1257.447;0.76576413085343E+03;0.11261094559232E-01;-.62425474410895E-05;0.17543098194994E-08;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;004; 3;            1257.447;            6238.234;0.76650542364729E+03;0.76767509717095E-02;-.19707200040794E-05;0.26917708438392E-09;-.14346039347404E-13
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;005; 1;               0.000;             869.181;0.76800000000000E+03;0.45961205658945E-02;-.45998700839511E-06;0.12952539683796E-08;-.89347859517125E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;005; 2;             869.181;            1257.447;0.76576413085343E+03;0.11261094559232E-01;-.62425474410895E-05;0.17543098194994E-08;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0004;005; 3;            1257.447;            6238.234;0.76650542364729E+03;0.76767509717095E-02;-.19707200040794E-05;0.26917708438392E-09;-.14346039347404E-13
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0006;001; 1;               0.000;            1797.517;0.66924477454233E+03;0.61457290391761E-02;-.35372650006539E-05;0.76065725868450E-09;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0006;001; 2;            1797.517;            4190.058;0.65680447106812E+03;0.22214593230849E-01;-.10816507034675E-04;0.22954796490786E-08;-.17606898487237E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0006;001; 3;            4190.058;           11245.494;0.66606835022913E+03;0.42007316246237E-02;-.74270446044706E-06;0.61461858612508E-10;-.18668560886631E-14
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;001; 1;               0.000;            4332.009;0.61774670000000E+03;0.25708320000000E-02;-.16324900000000E-06;0.00000000000000E+01;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;001; 2;            4332.009;           13081.880;0.62081030000000E+03;0.11564400000000E-02;-.18880750000000E-14;0.00000000000000E+01;0.00000000000000E+01
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;002; 1;               0.000;            1319.244;0.61946530000000E+03;0.17103310000000E-04;-.28092880000000E-06;0.15863900000000E-08;-.59000550000000E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;002; 2;            1319.244;            4332.009;0.61774670000000E+03;0.25708320000000E-02;-.16324900000000E-06;0.00000000000000E+01;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;002; 3;            4332.009;           13081.880;0.62081030000000E+03;0.11564400000000E-02;-.18880750000000E-14;0.00000000000000E+01;0.00000000000000E+01
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;003; 1;               0.000;            3076.155;0.62071990000000E+03;-.13576460000000E-16;0.77548310000000E-06;-.20385050000000E-09;0.22178910000000E-13
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;003; 2;            3076.155;            4332.009;0.61774670000000E+03;0.25708320000000E-02;-.16324900000000E-06;0.00000000000000E+01;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;003; 3;            4332.009;           13081.880;0.62081030000000E+03;0.11564400000000E-02;-.18880750000000E-14;0.00000000000000E+01;0.00000000000000E+01
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;004; 1;               0.000;            3442.639;0.62156770000000E+03;-.13040120000000E-17;0.54572260000000E-06;-.13572050000000E-09;0.15409710000000E-13
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;004; 2;            3442.639;            4332.009;0.61774670000000E+03;0.25708320000000E-02;-.16324900000000E-06;0.00000000000000E+01;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;004; 3;            4332.009;           13081.880;0.62081030000000E+03;0.11564400000000E-02;-.18880750000000E-14;0.00000000000000E+01;0.00000000000000E+01
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;005; 1;               0.000;            3442.600;0.62220000000000E+03;-.22632450000000E-16;0.27779900000000E-06;-.42062500000000E-10;0.63090700000000E-14
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;005; 2;            3442.600;            4332.009;0.61774670000000E+03;0.25708320000000E-02;-.16324900000000E-06;0.00000000000000E+01;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0007;005; 3;            4332.009;           13081.880;0.62081030000000E+03;0.11564400000000E-02;-.18880750000000E-14;0.00000000000000E+01;0.00000000000000E+01
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;001; 1;               0.000;            4190.566;0.55625370000000E+03;0.23031610000000E-02;-.49837690000000E-06;0.48113230000000E-10;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;001; 2;            4190.566;           11989.420;0.55701400000000E+03;0.11675690000000E-02;-.88995910000000E-07;0.54029180000000E-11;-.15422390000000E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;002; 1;               0.000;             869.428;0.55710000000000E+03;0.84437430000000E-17;0.73121700000000E-06;0.12095430000000E-08;-.93909760000000E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;002; 2;             869.428;            4190.566;0.55625370000000E+03;0.23031610000000E-02;-.49837690000000E-06;0.48113230000000E-10;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;002; 3;            4190.566;           11989.420;0.55701400000000E+03;0.11675690000000E-02;-.88995910000000E-07;0.54029180000000E-11;-.15422390000000E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;003; 1;               0.000;            1090.008;0.55740000000000E+03;0.24278880000000E-17;0.51480830000000E-07;0.13142440000000E-08;-.65797760000000E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;003; 2;            1090.008;            4190.566;0.55625370000000E+03;0.23031610000000E-02;-.49837690000000E-06;0.48113230000000E-10;0.00000000000000E+01
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;003; 3;            4190.566;           11989.420;0.55701400000000E+03;0.11675690000000E-02;-.88995910000000E-07;0.54029180000000E-11;-.15422390000000E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;004; 1;               0.000;            4378.874;0.55800000000000E+03;0.40780010000000E-18;0.67133030000000E-06;-.20616400000000E-09;0.19732290000000E-13
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;004; 2;            4378.874;           11989.420;0.55701400000000E+03;0.11675690000000E-02;-.88995910000000E-07;0.54029180000000E-11;-.15422390000000E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;005; 1;               0.000;            4600.000;0.55850000000000E+03;-.84983960000000E-17;0.47108720000000E-06;-.13364260000000E-09;0.12280580000000E-13
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0008;005; 2;            4600.000;           11989.420;0.55701400000000E+03;0.11675690000000E-02;-.88995910000000E-07;0.54029180000000E-11;-.15422390000000E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0009;001; 1;               0.000;            3573.979;0.51183311818750E+03;0.80007944081166E-03;0.55375691608354E-06;-.14126213644413E-09;0.94914919310503E-14
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0009;001; 2;            3573.979;           10957.615;0.51099815722606E+03;0.23714330034223E-02;-.25591616387685E-06;0.15935552601890E-10;-.40770261301443E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0009;002; 1;               0.000;            1724.944;0.51204726008102E+03;-.99575241765259E-17;0.17931161426941E-05;-.93845372123431E-09;0.18681392886259E-12
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0009;002; 2;            1724.944;            3573.979;0.51183311818750E+03;0.80007944081166E-03;0.55375691608354E-06;-.14126213644413E-09;0.94914919310503E-14
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0009;002; 3;            3573.979;           10957.615;0.51099815722606E+03;0.23714330034223E-02;-.25591616387685E-06;0.15935552601890E-10;-.40770261301443E-15
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;001; 1;               0.000;            3931.811;4.93556500000000E+02;1.45685300000000E-03;3.82077800000000E-08;-7.6535160000000E-11;9.61812000000000E-15
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;001; 2;            3931.811;           11252.960;4.93953400000000E+02;1.39952600000000E-03;-1.6274530000000E-07;1.06834400000000E-11;-2.8370270000000E-16
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;002; 1;               0.000;             946.902;4.93572500000000E+02;2.09901800000000E-03;-1.3804510000000E-06;6.95680500000000E-10;0.00000000000000E+00
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;002; 2;             946.902;            3931.811;4.93556500000000E+02;1.45685300000000E-03;3.82077800000000E-08;-7.6535160000000E-11;9.61812000000000E-15
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;002; 3;            3931.811;           11252.960;4.93953400000000E+02;1.39952600000000E-03;-1.6274530000000E-07;1.06834400000000E-11;-2.8370270000000E-16
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;003; 1;               0.000;            3191.267;4.94278400000000E+02;2.36850700000000E-04;9.59551700000000E-07;-3.8342290000000E-10;4.58922100000000E-14
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;003; 2;            3191.267;            3931.811;4.93556500000000E+02;1.45685300000000E-03;3.82077800000000E-08;-7.6535160000000E-11;9.61812000000000E-15
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;003; 3;            3931.811;           11252.960;4.93953400000000E+02;1.39952600000000E-03;-1.6274530000000E-07;1.06834400000000E-11;-2.8370270000000E-16
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;004; 1;               0.000;            2294.075;4.94437000000000E+02;1.48620100000000E-04;1.16707700000000E-06;-6.0667670000000E-10;1.02776200000000E-13
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;004; 2;            2294.075;            3931.811;4.93556500000000E+02;1.45685300000000E-03;3.82077800000000E-08;-7.6535160000000E-11;9.61812000000000E-15
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;004; 3;            3931.811;           11252.960;4.93953400000000E+02;1.39952600000000E-03;-1.6274530000000E-07;1.06834400000000E-11;-2.8370270000000E-16
 &
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;005; 1;               0.000;            2970.000;4.94570000000000E+02;3.03347600000000E-04;8.15048400000000E-07;-3.6210290000000E-10;4.87046400000000E-14
HIDRELETRICA-CURVAJUSANTE-POLINOMIOPORPARTES-SEGMENTO;0010;005; 2;            2970.000;            3931.811;4.93556500000000E+02;1.45685300000000E-03;3.82077800000000E-08;-7.6535160000000E-11;9.61812000000000E-15
