***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: NEWAVE     - Versao FPHA_NEWAVE                             *
*                                                                     *
***********************************************************************


____________________________________________________________________
                                   
____________________________________________________________________


---------------------------------------------------------------------------------
Relatorio de dados para a modelagem da funcao de producao das usinas hidroeletricas
---------------------------------------------------------------------------------
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
USIH;IPER;    Nome     ;      Opcoes    ;;;;     Discretiz. Q    ;;;    Discretiz. V     ;;;    Janela GH   ;;
  - ;    ;     -       ;Tipo;Conv;Alfa;Rems; Npt ;   Qmin ;  Qmax  ; Npt ;  Vmin  ;  Vmax  ;  GHmin ; GHmax  ;
  - ;    ;             ;    ;    ;    ;    ;     ; (m3/s) ; (m3/s) ;     ; (hm3)  ; (hm3)  ;  (MW)  ;  (MW)  ;
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
  21;  11; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;  12; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  21;  13; SERRA FACAO ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   313.5;    5;  1752.0;  3947.7;     0.0;   212.6;
  27;   1; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   2; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   3; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   4; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   5; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   6; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   7; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   8; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;   9; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;  10; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;  11; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;  12; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  27;  13; CAPIM BRANC1;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   471.3;    5;   228.3;   238.0;     0.0;   240.0;
  28;   1; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   2; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   3; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   4; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   5; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   6; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   7; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   8; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;   9; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;  10; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;  11; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;  12; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  28;  13; CAPIM BRANC2;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   503.7;    1;   867.5;   867.5;     0.0;   210.0;
  29;   1; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   2; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   3; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   4; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   5; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   6; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   7; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   8; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
  29;   9; CORUMBA IV  ;  2 ;  1 ;  1 ;  1 ;    5;     0.0;   227.6;    5;  2936.6;  3500.3;     0.0;   129.2;
